0	1	2	3	4

1	1	5	8	1
1	1	7	9	1
1	1	6	9	1
1	1	6	8	1
1	1	6	9	1
1	1	6	9	1
1	1	6	9	1
1	1	6	9	1
1	1	6	9	1
1	1	7	9	1
1	1	5	9	1
1	1	3	9	1
1	1	2	9	1
1	1	3	9	1
1	1	6	9	1
1	1	6	9	1
1	1	6	9	1
1	1	6	8	1
1	1	8	9	1
1	1	3	7	1
1	1	6	9	1
1	1	7	9	1
1	1	7	9	1
1	1	7	9	1
1	1	5	9	1
1	1	6	8	1
1	1	8	9	0
1	1	7	9	1
1	1	7	9	1
1	1	5	8	1
1	0	3	9	0
1	0	4	0	0
1	0	5	0	0
1	0	4	9	0
1	0	4	8	0
1	0	4	0	1
1	0	6	0	0
1	0	6	0	0
1	0	6	0	0
1	0	5	0	0
1	0	4	0	0
1	0	4	0	0
1	0	4	0	0
1	0	5	5	0
1	0	5	9	0
0	2	1	0	1
0	2	4	9	0
0	2	0	9	0
0	2	3	0	0
0	2	3	0	0
0	2	3	2	0
0	2	3	2	1
0	2	3	0	0
0	2	3	0	0
0	2	3	3	0
0	2	3	3	0
0	2	3	4	0
0	2	3	2	0
0	2	4	3	0
0	2	3	0	0
0	2	3	5	0
0	2	3	1	0
0	2	4	6	0
0	2	5	3	0
0	2	4	0	0
0	2	4	7	0
0	2	3	2	0
0	2	3	2	0
0	2	3	0	0
0	2	3	0	0
0	2	4	0	0
0	2	3	0	0
0	2	4	4	0
0	2	3	3	0
0	2	4	3	0
0	2	3	0	0
0	2	3	1	0
0	2	4	5	0
0	2	3	0	0
0	2	3	0	0
0	2	3	0	0
0	2	3	0	0
0	2	4	0	0
0	2	4	0	0
0	2	4	4	0
0	2	4	0	0
0	2	3	3	0
0	2	3	0	0
0	2	3	0	0
0	2	4	1	0
0	2	3	3	0
0	2	3	0	0
0	2	4	0	0
0	2	3	0	0
0	2	3	0	0
0	2	3	0	0
0	2	3	1	0
0	2	4	6	0
0	2	3	0	0
0	2	3	1	0
0	2	3	3	0
0	2	3	0	0
0	2	3	5	0
0	2	3	2	0
0	2	3	0	0
0	2	3	0	0
0	2	4	1	0
0	2	3	0	0
0	2	3	0	0
0	2	2	0	0
0	2	4	4	0
